ad_id,campaign_id,listing_id,listing_source,product_area,ad_type,impressions,clicks,revenue,event_date,campaign_metadata
11180,CMP-01118,1529,motors,Motors,Banner,8502,191,677.15,2024-06-08,"{""advertiser_name"": ""Kiwi Auto"", ""budget_nzd"": 20000, ""target_audience"": ""35-45"", ""duration_days"": 7, ""campaign_type"": ""seasonal""}"
11181,CMP-01119,4471,motors,Motors,Banner,9294,274,337.31,2025-04-13,"{""advertiser_name"": ""Canterbury Car Sales"", ""budget_nzd"": 500, ""target_audience"": ""35-45"", ""duration_days"": 30, ""campaign_type"": ""launch""}"
11182,CMP-01119,6804,jobs,Jobs,Featured,1873,123,46.33,2023-09-03,"{""advertiser_name"": ""Robert Half"", ""budget_nzd"": 10000, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 7, ""campaign_type"": ""awareness""}"
11183,CMP-01119,11018,property,Property,Gallery,419,13,32.99,2024-05-16,"{""advertiser_name"": ""LJ Hooker"", ""budget_nzd"": 5000, ""target_audience"": ""All Ages"", ""duration_days"": 30, ""campaign_type"": ""seasonal""}"
11184,CMP-01119,2806,property,Property,Sponsored,4956,178,782.19,2026-05-12,"{""advertiser_name"": ""Bayleys"", ""budget_nzd"": 5000, ""target_audience"": ""25-35"", ""duration_days"": 60, ""campaign_type"": ""seasonal""}"
11185,CMP-01119,14402,property,Property,Highlight,850,30,29.61,2024-06-29,"{""advertiser_name"": ""LJ Hooker"", ""budget_nzd"": 2000, ""target_audience"": ""18-25"", ""duration_days"": 30, ""campaign_type"": ""awareness""}"
11186,CMP-01119,10962,jobs,Jobs,Featured,154,3,6.61,2024-12-22,"{""advertiser_name"": ""Hudson"", ""budget_nzd"": 10000, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 14, ""campaign_type"": ""seasonal""}"
11187,CMP-01119,29930,marketplace,Marketplace,Highlight,293,8,10.05,2026-07-09,"{""advertiser_name"": ""Collectables Plus"", ""budget_nzd"": 5000, ""target_audience"": ""45-55"", ""duration_days"": 60, ""campaign_type"": ""retargeting""}"
11188,CMP-01119,17434,marketplace,Marketplace,Banner,9856,451,1062.8,2025-12-16,"{""advertiser_name"": ""HomeStyle NZ"", ""budget_nzd"": 50000, ""target_audience"": ""35-45"", ""duration_days"": 30, ""campaign_type"": ""awareness""}"
11189,CMP-01119,32769,marketplace,Marketplace,Banner,2228,71,141.48,2025-11-08,"{""advertiser_name"": ""Collectables Plus"", ""budget_nzd"": 2000, ""target_audience"": ""25-35"", ""duration_days"": 30, ""campaign_type"": ""launch""}"
11190,CMP-01119,18666,motors,Motors,Highlight,679,22,41.87,2023-11-23,"{""advertiser_name"": ""NZ Motors Ltd"", ""budget_nzd"": 1000, ""target_audience"": ""35-45"", ""duration_days"": 14, ""campaign_type"": ""launch""}"
11191,CMP-01120,43230,marketplace,Marketplace,Highlight,222,4,3.05,2024-05-15,"{""advertiser_name"": ""Fashion Forward"", ""budget_nzd"": 5000, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 7, ""campaign_type"": ""retargeting""}"
11192,CMP-01120,13572,property,Property,Featured,797,42,43.83,2024-06-24,"{""advertiser_name"": ""LJ Hooker"", ""budget_nzd"": 50000, ""target_audience"": ""55+"", ""duration_days"": 30, ""campaign_type"": ""retargeting""}"
11193,CMP-01120,6259,motors,Motors,Highlight,491,20,35.36,2024-09-07,"{""advertiser_name"": ""Canterbury Car Sales"", ""budget_nzd"": 20000, ""target_audience"": ""55+"", ""duration_days"": 60, ""campaign_type"": ""launch""}"
11194,CMP-01120,13374,motors,Motors,Gallery,548,5,2.7,2024-07-28,"{""advertiser_name"": ""Canterbury Car Sales"", ""budget_nzd"": 500, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 60, ""campaign_type"": ""launch""}"
11195,CMP-01120,40042,marketplace,Marketplace,Gallery,268,10,21.63,2024-11-15,"{""advertiser_name"": ""Game On NZ"", ""budget_nzd"": 5000, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 90, ""campaign_type"": ""awareness""}"
11196,CMP-01120,14097,motors,Motors,Highlight,721,12,43.99,2025-10-14,"{""advertiser_name"": ""Drive NZ"", ""budget_nzd"": 2000, ""target_audience"": ""25-35"", ""duration_days"": 90, ""campaign_type"": ""awareness""}"
11197,CMP-01120,13569,property,Property,Banner,6002,206,668.23,2025-12-22,"{""advertiser_name"": ""LJ Hooker"", ""budget_nzd"": 2000, ""target_audience"": ""Canterbury Families"", ""duration_days"": 14, ""campaign_type"": ""launch""}"
11198,CMP-01120,42021,marketplace,Marketplace,Sponsored,2533,57,112.9,2023-12-17,"{""advertiser_name"": ""Fashion Forward"", ""budget_nzd"": 2000, ""target_audience"": ""45-55"", ""duration_days"": 7, ""campaign_type"": ""seasonal""}"
11199,CMP-01120,5508,motors,Motors,Featured,1258,76,217.02,2024-10-25,"{""advertiser_name"": ""Pacific Motors"", ""budget_nzd"": 20000, ""target_audience"": ""Canterbury Families"", ""duration_days"": 14, ""campaign_type"": ""seasonal""}"
11200,CMP-01120,7466,property,Property,Featured,793,16,46.52,2024-06-12,"{""advertiser_name"": ""Bayleys"", ""budget_nzd"": 5000, ""target_audience"": ""All Ages"", ""duration_days"": 30, ""campaign_type"": ""seasonal""}"
11201,CMP-01121,11699,property,Property,Featured,783,38,48.85,2026-01-30,"{""advertiser_name"": ""Ray White"", ""budget_nzd"": 5000, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 60, ""campaign_type"": ""awareness""}"
11202,CMP-01121,14042,property,Property,Banner,8338,133,530.8,2026-08-24,"{""advertiser_name"": ""Ray White"", ""budget_nzd"": 20000, ""target_audience"": ""45-55"", ""duration_days"": 7, ""campaign_type"": ""awareness""}"
11203,CMP-01121,36315,marketplace,Marketplace,Banner,4246,105,25.61,2026-04-30,"{""advertiser_name"": ""HomeStyle NZ"", ""budget_nzd"": 500, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 60, ""campaign_type"": ""seasonal""}"
11204,CMP-01121,5767,marketplace,Marketplace,Gallery,833,34,14.08,2024-02-23,"{""advertiser_name"": ""Fashion Forward"", ""budget_nzd"": 500, ""target_audience"": ""18-25"", ""duration_days"": 7, ""campaign_type"": ""launch""}"
11205,CMP-01121,4902,motors,Motors,Banner,6184,267,283.67,2024-04-20,"{""advertiser_name"": ""Pacific Motors"", ""budget_nzd"": 500, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 14, ""campaign_type"": ""retargeting""}"
11206,CMP-01121,19136,motors,Motors,Featured,1866,40,127.59,2024-05-23,"{""advertiser_name"": ""Auckland Auto Group"", ""budget_nzd"": 1000, ""target_audience"": ""55+"", ""duration_days"": 7, ""campaign_type"": ""seasonal""}"
11207,CMP-01121,3811,property,Property,Highlight,724,11,47.21,2023-09-07,"{""advertiser_name"": ""Property Brokers"", ""budget_nzd"": 1000, ""target_audience"": ""All Ages"", ""duration_days"": 7, ""campaign_type"": ""seasonal""}"
11208,CMP-01121,3821,jobs,Jobs,Sponsored,1424,21,21.07,2025-04-12,"{""advertiser_name"": ""Michael Page"", ""budget_nzd"": 20000, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 7, ""campaign_type"": ""retargeting""}"
11209,CMP-01121,9398,motors,Motors,Sponsored,1453,19,33.37,2024-06-03,"{""advertiser_name"": ""Pacific Motors"", ""budget_nzd"": 2000, ""target_audience"": ""All Ages"", ""duration_days"": 30, ""campaign_type"": ""awareness""}"
11210,CMP-01121,11700,jobs,Jobs,Sponsored,407,14,26.29,2025-03-25,"{""advertiser_name"": ""Michael Page"", ""budget_nzd"": 50000, ""target_audience"": ""Canterbury Families"", ""duration_days"": 30, ""campaign_type"": ""awareness""}"
11211,CMP-01122,3227,property,Property,Sponsored,820,37,90.16,2026-01-17,"{""advertiser_name"": ""LJ Hooker"", ""budget_nzd"": 5000, ""target_audience"": ""25-35"", ""duration_days"": 30, ""campaign_type"": ""launch""}"
11212,CMP-01122,4180,motors,Motors,Banner,3450,103,114.98,2024-01-13,"{""advertiser_name"": ""Canterbury Car Sales"", ""budget_nzd"": 10000, ""target_audience"": ""45-55"", ""duration_days"": 7, ""campaign_type"": ""seasonal""}"
11213,CMP-01122,3949,jobs,Jobs,Featured,472,20,4.12,2025-10-09,"{""advertiser_name"": ""Robert Half"", ""budget_nzd"": 10000, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 14, ""campaign_type"": ""retargeting""}"
11214,CMP-01122,3336,motors,Motors,Gallery,702,12,44.46,2024-12-09,"{""advertiser_name"": ""Auckland Auto Group"", ""budget_nzd"": 20000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 30, ""campaign_type"": ""seasonal""}"
11215,CMP-01122,8755,jobs,Jobs,Featured,1954,93,118.41,2024-05-18,"{""advertiser_name"": ""Seek NZ"", ""budget_nzd"": 1000, ""target_audience"": ""55+"", ""duration_days"": 14, ""campaign_type"": ""retargeting""}"
11216,CMP-01122,19490,motors,Motors,Featured,437,10,24.96,2026-04-30,"{""advertiser_name"": ""NZ Motors Ltd"", ""budget_nzd"": 50000, ""target_audience"": ""45-55"", ""duration_days"": 14, ""campaign_type"": ""awareness""}"
11217,CMP-01122,8989,jobs,Jobs,Featured,574,17,14.16,2023-12-11,"{""advertiser_name"": ""Randstad"", ""budget_nzd"": 500, ""target_audience"": ""55+"", ""duration_days"": 30, ""campaign_type"": ""conversion""}"
11218,CMP-01122,43519,marketplace,Marketplace,Gallery,372,15,16.94,2023-08-26,"{""advertiser_name"": ""Fashion Forward"", ""budget_nzd"": 10000, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 30, ""campaign_type"": ""awareness""}"
11219,CMP-01122,7776,property,Property,Featured,1324,66,237.03,2025-06-01,"{""advertiser_name"": ""Harcourts"", ""budget_nzd"": 500, ""target_audience"": ""35-45"", ""duration_days"": 30, ""campaign_type"": ""retargeting""}"
11220,CMP-01122,10858,jobs,Jobs,Banner,6537,298,541.15,2025-10-24,"{""advertiser_name"": ""Hays Recruitment"", ""budget_nzd"": 2000, ""target_audience"": ""45-55"", ""duration_days"": 30, ""campaign_type"": ""seasonal""}"
11221,CMP-01123,17613,motors,Motors,Featured,182,5,15.53,2025-06-16,"{""advertiser_name"": ""Wellington Motors"", ""budget_nzd"": 2000, ""target_audience"": ""Canterbury Families"", ""duration_days"": 14, ""campaign_type"": ""retargeting""}"
11222,CMP-01123,24214,marketplace,Marketplace,Sponsored,1913,41,91.68,2024-10-19,"{""advertiser_name"": ""Sports Direct NZ"", ""budget_nzd"": 1000, ""target_audience"": ""35-45"", ""duration_days"": 90, ""campaign_type"": ""launch""}"
11223,CMP-01123,9273,jobs,Jobs,Highlight,531,13,9.76,2023-08-22,"{""advertiser_name"": ""Robert Half"", ""budget_nzd"": 2000, ""target_audience"": ""55+"", ""duration_days"": 30, ""campaign_type"": ""retargeting""}"
11224,CMP-01123,49094,marketplace,Marketplace,Highlight,268,9,3.17,2026-03-27,"{""advertiser_name"": ""Tech Deals NZ"", ""budget_nzd"": 5000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 30, ""campaign_type"": ""seasonal""}"
11225,CMP-01123,8466,property,Property,Sponsored,3402,118,89.51,2024-06-22,"{""advertiser_name"": ""Property Brokers"", ""budget_nzd"": 2000, ""target_audience"": ""45-55"", ""duration_days"": 90, ""campaign_type"": ""seasonal""}"
11226,CMP-01123,6463,jobs,Jobs,Featured,1024,67,64.76,2026-05-06,"{""advertiser_name"": ""Michael Page"", ""budget_nzd"": 5000, ""target_audience"": ""25-35"", ""duration_days"": 14, ""campaign_type"": ""launch""}"
11227,CMP-01123,9675,property,Property,Gallery,191,6,11.22,2026-08-09,"{""advertiser_name"": ""Tommy's Real Estate"", ""budget_nzd"": 500, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 60, ""campaign_type"": ""seasonal""}"
11228,CMP-01123,14617,property,Property,Featured,1552,67,27.4,2025-04-21,"{""advertiser_name"": ""Tommy's Real Estate"", ""budget_nzd"": 500, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 14, ""campaign_type"": ""retargeting""}"
11229,CMP-01123,2225,jobs,Jobs,Highlight,878,23,30.67,2025-06-17,"{""advertiser_name"": ""Trade Me Jobs"", ""budget_nzd"": 50000, ""target_audience"": ""Canterbury Families"", ""duration_days"": 7, ""campaign_type"": ""conversion""}"
11230,CMP-01123,16202,marketplace,Marketplace,Sponsored,2699,41,48.14,2024-10-10,"{""advertiser_name"": ""Fashion Forward"", ""budget_nzd"": 5000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 60, ""campaign_type"": ""seasonal""}"
11231,CMP-01124,8424,jobs,Jobs,Featured,1773,119,121.99,2026-03-14,"{""advertiser_name"": ""Seek NZ"", ""budget_nzd"": 5000, ""target_audience"": ""Canterbury Families"", ""duration_days"": 7, ""campaign_type"": ""launch""}"
11232,CMP-01124,4426,marketplace,Marketplace,Gallery,559,17,16.34,2024-01-11,"{""advertiser_name"": ""HomeStyle NZ"", ""budget_nzd"": 500, ""target_audience"": ""All Ages"", ""duration_days"": 60, ""campaign_type"": ""awareness""}"
11233,CMP-01124,9358,jobs,Jobs,Highlight,589,15,29.32,2025-04-18,"{""advertiser_name"": ""Robert Half"", ""budget_nzd"": 50000, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 14, ""campaign_type"": ""retargeting""}"
11234,CMP-01124,15127,motors,Motors,Featured,1549,83,193.2,2024-04-07,"{""advertiser_name"": ""Auckland Auto Group"", ""budget_nzd"": 20000, ""target_audience"": ""All Ages"", ""duration_days"": 90, ""campaign_type"": ""awareness""}"
11235,CMP-01124,10140,motors,Motors,Banner,590,12,9.59,2023-08-27,"{""advertiser_name"": ""Auckland Auto Group"", ""budget_nzd"": 2000, ""target_audience"": ""35-45"", ""duration_days"": 7, ""campaign_type"": ""seasonal""}"
11236,CMP-01124,11859,marketplace,Marketplace,Highlight,723,18,27.64,2025-01-16,"{""advertiser_name"": ""Sports Direct NZ"", ""budget_nzd"": 5000, ""target_audience"": ""35-45"", ""duration_days"": 7, ""campaign_type"": ""launch""}"
11237,CMP-01124,38493,marketplace,Marketplace,Highlight,202,4,2.8,2025-09-17,"{""advertiser_name"": ""HomeStyle NZ"", ""budget_nzd"": 1000, ""target_audience"": ""25-35"", ""duration_days"": 60, ""campaign_type"": ""conversion""}"
11238,CMP-01124,3528,motors,Motors,Banner,4151,69,209.83,2024-02-28,"{""advertiser_name"": ""NZ Motors Ltd"", ""budget_nzd"": 10000, ""target_audience"": ""18-25"", ""duration_days"": 14, ""campaign_type"": ""awareness""}"
11239,CMP-01124,6118,motors,Motors,Gallery,338,6,17.17,2026-08-12,"{""advertiser_name"": ""Pacific Motors"", ""budget_nzd"": 500, ""target_audience"": ""Canterbury Families"", ""duration_days"": 7, ""campaign_type"": ""awareness""}"
11240,CMP-01124,6366,motors,Motors,Banner,6844,237,340.38,2025-03-17,"{""advertiser_name"": ""Drive NZ"", ""budget_nzd"": 2000, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 90, ""campaign_type"": ""awareness""}"
11241,CMP-01125,16746,motors,Motors,Banner,6374,192,343.47,2026-02-16,"{""advertiser_name"": ""Drive NZ"", ""budget_nzd"": 5000, ""target_audience"": ""35-45"", ""duration_days"": 60, ""campaign_type"": ""conversion""}"
11242,CMP-01125,11855,jobs,Jobs,Gallery,307,14,16.91,2024-12-26,"{""advertiser_name"": ""Hudson"", ""budget_nzd"": 1000, ""target_audience"": ""35-45"", ""duration_days"": 60, ""campaign_type"": ""awareness""}"
11243,CMP-01125,1510,jobs,Jobs,Featured,1697,47,57.66,2023-09-17,"{""advertiser_name"": ""Michael Page"", ""budget_nzd"": 5000, ""target_audience"": ""35-45"", ""duration_days"": 30, ""campaign_type"": ""retargeting""}"
11244,CMP-01125,11648,motors,Motors,Sponsored,2458,36,36.67,2026-03-27,"{""advertiser_name"": ""Auckland Auto Group"", ""budget_nzd"": 20000, ""target_audience"": ""55+"", ""duration_days"": 14, ""campaign_type"": ""seasonal""}"
11245,CMP-01125,2683,jobs,Jobs,Featured,819,16,10.3,2025-02-11,"{""advertiser_name"": ""Seek NZ"", ""budget_nzd"": 10000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 90, ""campaign_type"": ""awareness""}"
11246,CMP-01125,19375,motors,Motors,Sponsored,986,41,62.25,2024-06-27,"{""advertiser_name"": ""NZ Motors Ltd"", ""budget_nzd"": 20000, ""target_audience"": ""25-35"", ""duration_days"": 60, ""campaign_type"": ""seasonal""}"
11247,CMP-01125,9916,motors,Motors,Featured,1858,45,148.15,2025-12-31,"{""advertiser_name"": ""Turners Cars"", ""budget_nzd"": 20000, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 60, ""campaign_type"": ""seasonal""}"
11248,CMP-01125,23607,marketplace,Marketplace,Gallery,118,5,11.61,2026-03-24,"{""advertiser_name"": ""HomeStyle NZ"", ""budget_nzd"": 50000, ""target_audience"": ""35-45"", ""duration_days"": 7, ""campaign_type"": ""conversion""}"
11249,CMP-01125,47986,marketplace,Marketplace,Highlight,212,6,13.99,2024-09-28,"{""advertiser_name"": ""HomeStyle NZ"", ""budget_nzd"": 20000, ""target_audience"": ""25-35"", ""duration_days"": 90, ""campaign_type"": ""launch""}"
11250,CMP-01125,33138,marketplace,Marketplace,Highlight,499,19,16.03,2025-11-11,"{""advertiser_name"": ""HomeStyle NZ"", ""budget_nzd"": 1000, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 60, ""campaign_type"": ""seasonal""}"
11251,CMP-01126,972,motors,Motors,Featured,409,11,7.27,2026-06-03,"{""advertiser_name"": ""Canterbury Car Sales"", ""budget_nzd"": 50000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 90, ""campaign_type"": ""seasonal""}"
11252,CMP-01126,45116,marketplace,Marketplace,Featured,742,19,4.52,2023-08-09,"{""advertiser_name"": ""Fashion Forward"", ""budget_nzd"": 5000, ""target_audience"": ""55+"", ""duration_days"": 30, ""campaign_type"": ""seasonal""}"
11253,CMP-01126,9199,marketplace,Marketplace,Gallery,371,4,9.3,2024-05-10,"{""advertiser_name"": ""Game On NZ"", ""budget_nzd"": 2000, ""target_audience"": ""45-55"", ""duration_days"": 7, ""campaign_type"": ""conversion""}"
11254,CMP-01126,7555,property,Property,Sponsored,1888,30,65.72,2026-06-24,"{""advertiser_name"": ""Tommy's Real Estate"", ""budget_nzd"": 500, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 14, ""campaign_type"": ""seasonal""}"
11255,CMP-01126,5371,property,Property,Highlight,812,8,4.1,2026-07-23,"{""advertiser_name"": ""LJ Hooker"", ""budget_nzd"": 50000, ""target_audience"": ""18-25"", ""duration_days"": 30, ""campaign_type"": ""awareness""}"
11256,CMP-01126,3332,jobs,Jobs,Featured,535,8,15.92,2024-10-27,"{""advertiser_name"": ""Hudson"", ""budget_nzd"": 20000, ""target_audience"": ""All Ages"", ""duration_days"": 60, ""campaign_type"": ""retargeting""}"
11257,CMP-01126,13608,property,Property,Banner,7385,284,715.63,2026-03-31,"{""advertiser_name"": ""Property Brokers"", ""budget_nzd"": 2000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 7, ""campaign_type"": ""awareness""}"
11258,CMP-01126,3114,motors,Motors,Featured,1128,55,205.62,2025-08-19,"{""advertiser_name"": ""Drive NZ"", ""budget_nzd"": 5000, ""target_audience"": ""Canterbury Families"", ""duration_days"": 14, ""campaign_type"": ""seasonal""}"
11259,CMP-01126,832,property,Property,Featured,643,20,38.47,2025-04-06,"{""advertiser_name"": ""LJ Hooker"", ""budget_nzd"": 5000, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 30, ""campaign_type"": ""awareness""}"
11260,CMP-01126,7807,property,Property,Sponsored,2062,77,325.18,2024-03-25,"{""advertiser_name"": ""Tommy's Real Estate"", ""budget_nzd"": 500, ""target_audience"": ""18-25"", ""duration_days"": 60, ""campaign_type"": ""launch""}"
11261,CMP-01127,44997,marketplace,Marketplace,Highlight,178,3,4.64,2024-07-05,"{""advertiser_name"": ""Game On NZ"", ""budget_nzd"": 20000, ""target_audience"": ""55+"", ""duration_days"": 14, ""campaign_type"": ""awareness""}"
11262,CMP-01127,34273,marketplace,Marketplace,Highlight,656,24,33.66,2026-01-25,"{""advertiser_name"": ""NZ Retail Group"", ""budget_nzd"": 20000, ""target_audience"": ""Canterbury Families"", ""duration_days"": 7, ""campaign_type"": ""launch""}"
11263,CMP-01127,8402,motors,Motors,Featured,1453,102,348.55,2025-05-11,"{""advertiser_name"": ""Drive NZ"", ""budget_nzd"": 2000, ""target_audience"": ""55+"", ""duration_days"": 60, ""campaign_type"": ""conversion""}"
11264,CMP-01127,11588,jobs,Jobs,Featured,962,24,28.23,2024-08-04,"{""advertiser_name"": ""Robert Half"", ""budget_nzd"": 500, ""target_audience"": ""18-25"", ""duration_days"": 14, ""campaign_type"": ""launch""}"
11265,CMP-01127,6502,jobs,Jobs,Highlight,964,13,3.89,2026-03-01,"{""advertiser_name"": ""Hays Recruitment"", ""budget_nzd"": 10000, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 60, ""campaign_type"": ""launch""}"
11266,CMP-01127,8013,marketplace,Marketplace,Highlight,858,39,30.78,2024-07-04,"{""advertiser_name"": ""Fashion Forward"", ""budget_nzd"": 5000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 7, ""campaign_type"": ""retargeting""}"
11267,CMP-01127,4,property,Property,Banner,3843,171,550.9,2025-09-11,"{""advertiser_name"": ""LJ Hooker"", ""budget_nzd"": 5000, ""target_audience"": ""25-35"", ""duration_days"": 7, ""campaign_type"": ""launch""}"
11268,CMP-01127,14531,motors,Motors,Featured,441,19,46.63,2024-12-03,"{""advertiser_name"": ""Canterbury Car Sales"", ""budget_nzd"": 5000, ""target_audience"": ""18-25"", ""duration_days"": 7, ""campaign_type"": ""conversion""}"
11269,CMP-01127,13213,marketplace,Marketplace,Featured,1186,43,31.17,2025-10-30,"{""advertiser_name"": ""Game On NZ"", ""budget_nzd"": 50000, ""target_audience"": ""55+"", ""duration_days"": 14, ""campaign_type"": ""awareness""}"
11270,CMP-01127,7922,marketplace,Marketplace,Banner,2504,117,117.12,2023-10-24,"{""advertiser_name"": ""HomeStyle NZ"", ""budget_nzd"": 5000, ""target_audience"": ""25-35"", ""duration_days"": 90, ""campaign_type"": ""retargeting""}"
11271,CMP-01128,5479,motors,Motors,Highlight,121,2,7.45,2024-02-27,"{""advertiser_name"": ""Canterbury Car Sales"", ""budget_nzd"": 5000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 30, ""campaign_type"": ""seasonal""}"
11272,CMP-01128,16872,marketplace,Marketplace,Highlight,760,29,23.12,2025-11-12,"{""advertiser_name"": ""Collectables Plus"", ""budget_nzd"": 10000, ""target_audience"": ""25-35"", ""duration_days"": 14, ""campaign_type"": ""retargeting""}"
11273,CMP-01128,14802,motors,Motors,Sponsored,3974,170,270.81,2026-02-05,"{""advertiser_name"": ""Canterbury Car Sales"", ""budget_nzd"": 20000, ""target_audience"": ""35-45"", ""duration_days"": 60, ""campaign_type"": ""conversion""}"
11274,CMP-01128,44633,marketplace,Marketplace,Banner,1287,36,31.22,2024-12-24,"{""advertiser_name"": ""Fashion Forward"", ""budget_nzd"": 20000, ""target_audience"": ""45-55"", ""duration_days"": 90, ""campaign_type"": ""launch""}"
11275,CMP-01128,43143,marketplace,Marketplace,Sponsored,3044,117,214.38,2025-03-07,"{""advertiser_name"": ""Sports Direct NZ"", ""budget_nzd"": 5000, ""target_audience"": ""18-25"", ""duration_days"": 60, ""campaign_type"": ""conversion""}"
11276,CMP-01128,7204,jobs,Jobs,Featured,855,41,57.88,2026-03-23,"{""advertiser_name"": ""Robert Half"", ""budget_nzd"": 10000, ""target_audience"": ""45-55"", ""duration_days"": 90, ""campaign_type"": ""launch""}"
11277,CMP-01128,4834,property,Property,Highlight,914,24,23.37,2024-09-02,"{""advertiser_name"": ""Property Brokers"", ""budget_nzd"": 10000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 14, ""campaign_type"": ""retargeting""}"
11278,CMP-01128,3606,property,Property,Banner,2393,36,146.48,2024-12-29,"{""advertiser_name"": ""Barfoot & Thompson"", ""budget_nzd"": 5000, ""target_audience"": ""Canterbury Families"", ""duration_days"": 60, ""campaign_type"": ""retargeting""}"
11279,CMP-01128,10019,jobs,Jobs,Highlight,349,16,37.14,2025-08-22,"{""advertiser_name"": ""Seek NZ"", ""budget_nzd"": 50000, ""target_audience"": ""18-25"", ""duration_days"": 90, ""campaign_type"": ""seasonal""}"
11280,CMP-01128,2425,jobs,Jobs,Highlight,930,32,54.61,2024-10-11,"{""advertiser_name"": ""Seek NZ"", ""budget_nzd"": 1000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 30, ""campaign_type"": ""seasonal""}"
11281,CMP-01129,40105,marketplace,Marketplace,Highlight,455,9,9.63,2025-12-30,"{""advertiser_name"": ""Collectables Plus"", ""budget_nzd"": 2000, ""target_audience"": ""18-25"", ""duration_days"": 60, ""campaign_type"": ""retargeting""}"
11282,CMP-01129,12767,jobs,Jobs,Gallery,799,30,41.32,2024-12-12,"{""advertiser_name"": ""Trade Me Jobs"", ""budget_nzd"": 500, ""target_audience"": ""25-35"", ""duration_days"": 90, ""campaign_type"": ""seasonal""}"
11283,CMP-01129,14421,property,Property,Sponsored,3146,37,60.7,2025-01-06,"{""advertiser_name"": ""Bayleys"", ""budget_nzd"": 5000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 7, ""campaign_type"": ""retargeting""}"
11284,CMP-01129,7750,marketplace,Marketplace,Gallery,532,13,17.39,2025-12-14,"{""advertiser_name"": ""Collectables Plus"", ""budget_nzd"": 20000, ""target_audience"": ""Canterbury Families"", ""duration_days"": 14, ""campaign_type"": ""awareness""}"
11285,CMP-01129,14232,marketplace,Marketplace,Banner,4298,187,146.72,2025-10-11,"{""advertiser_name"": ""Collectables Plus"", ""budget_nzd"": 50000, ""target_audience"": ""35-45"", ""duration_days"": 7, ""campaign_type"": ""launch""}"
11286,CMP-01129,13145,motors,Motors,Banner,8360,128,68.41,2025-08-04,"{""advertiser_name"": ""Auckland Auto Group"", ""budget_nzd"": 50000, ""target_audience"": ""18-25"", ""duration_days"": 90, ""campaign_type"": ""retargeting""}"
11287,CMP-01129,11815,property,Property,Banner,9411,377,1396.22,2025-01-05,"{""advertiser_name"": ""LJ Hooker"", ""budget_nzd"": 20000, ""target_audience"": ""35-45"", ""duration_days"": 7, ""campaign_type"": ""seasonal""}"
11288,CMP-01129,14561,motors,Motors,Featured,1776,108,40.42,2024-12-15,"{""advertiser_name"": ""Turners Cars"", ""budget_nzd"": 5000, ""target_audience"": ""18-25"", ""duration_days"": 90, ""campaign_type"": ""conversion""}"
11289,CMP-01129,13358,motors,Motors,Featured,217,15,44.5,2024-08-25,"{""advertiser_name"": ""Wellington Motors"", ""budget_nzd"": 10000, ""target_audience"": ""25-35"", ""duration_days"": 90, ""campaign_type"": ""retargeting""}"
11290,CMP-01129,5077,motors,Motors,Highlight,403,19,42.28,2024-04-22,"{""advertiser_name"": ""Kiwi Auto"", ""budget_nzd"": 20000, ""target_audience"": ""25-35"", ""duration_days"": 7, ""campaign_type"": ""conversion""}"
11291,CMP-01130,1018,marketplace,Marketplace,Featured,1586,41,70.98,2023-08-18,"{""advertiser_name"": ""Tech Deals NZ"", ""budget_nzd"": 5000, ""target_audience"": ""Canterbury Families"", ""duration_days"": 60, ""campaign_type"": ""retargeting""}"
